RF00003	U1 spliceosomal RNA	6QX9
RF00008	Hammerhead ribozyme (type III)	2QUS,2QUW,5DI2,5DI4,5DQK,5EAO,5EAQ
RF00013	6S / SsrS RNA	5VT0
RF00015	U4 spliceosomal RNA	2N7M,3JCM,5GAN,5GAP,5NRL,5O9Z,5ZWM,5ZWO,6AH0,6AHD,6QW6,6QX9
RF00025	Ciliate telomerase RNA	6D6V,7LMA,7LMB
RF00027	let-7 microRNA precursor	5ZAL,5ZAM
RF00032	Histone 3' UTR stem-loop	1JU7,1JWC,4L8R,4QOZ,4TUW,4TUX,4TV0
RF00037	Iron response element I	3SNP
RF00044	3WJ core of Phi29 Bacteriophage pRNA	1FOQ,6QYZ,7JQQ
RF00050	FMN riboswitch aptamer (RFN element)	3F2Q,3F2T,3F2W,3F2X,3F2Y,3F30,6WJR,6WJS
RF00051	Mir-17	9OBM
RF00059	TPP riboswitch aptamer (THI element)	2CKY,2GDI,2HOJ,2HOK,2HOL,2HOM,2HOO,2HOP,3D2G,3D2V,3D2X,3K0J,4NYA,4NYB,4NYC,4NYD,4NYG,7TD7,7TDA,7TDB,7TDC,7TZR,7TZS,7TZT,7TZU
RF00083	GlmZ_SraJ	8B0I,8B0J
RF00102	VA RNA	6OL3
RF00162	SAM riboswitch aptamer (S box leader)	2GIS,2YDH,2YGH,3GX2,3GX3,3GX5,3GX6,3GX7,3IQN,3IQP,3IQR,3V7E,4AOB,4B5R,4KQY,5FJC,5FK1,5FK2,5FK3,5FK4,5FK5,5FK6,5FKD,5FKE,5FKF,5FKG,5FKH,7EAF
RF00164	Coronavirus 3' stem-loop II-like motif (s2m)	1XJR
RF00166	rsmZ	2MF0,2MF1,7YR6,7YR7
RF00174	Cobalamin riboswitch aptamer	4GMA,4GXY,6VMY,8FW4,8SA2,8SA3,8SA4,8SA5,8SA6
RF00207	K10 transport/localisation element (TLS)	2KE6,2KUR,2KUU,2KUV,2KUW
RF00233	Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element	4P5J,6MJ0
RF00254	mir-16 microRNA precursor family	6LXD,6V5B,6V5C
RF00374	Gammaretrovirus core encapsidation signal	1S9S,1U6P,2L1F
